entity_type,entity_id,repetition,role,fold,participant_sessions,observed_emotional_presentations,seed
participant,P001,0,primary,2,2,6,8444471349078089300
participant,P002,0,primary,1,2,6,8444471349078089300
participant,P003,0,primary,2,1,3,8444471349078089300
participant,P004,0,primary,1,1,3,8444471349078089300
participant,P005,0,primary,3,1,3,8444471349078089300
participant,P006,0,primary,1,1,3,8444471349078089300
participant,P007,0,primary,2,2,6,8444471349078089300
participant,P008,0,primary,1,1,3,8444471349078089300
participant,P009,0,primary,1,2,6,8444471349078089300
participant,P010,0,primary,3,1,3,8444471349078089300
participant,P011,0,primary,1,2,6,8444471349078089300
participant,P013,0,primary,3,1,3,8444471349078089300
participant,P014,0,primary,1,1,3,8444471349078089300
participant,P016,0,primary,3,1,3,8444471349078089300
participant,P017,0,primary,2,2,6,8444471349078089300
participant,P018,0,primary,2,1,3,8444471349078089300
participant,P021,0,primary,3,1,3,8444471349078089300
participant,P022,0,primary,2,1,3,8444471349078089300
participant,P023,0,primary,2,1,3,8444471349078089300
participant,P024,0,primary,2,1,3,8444471349078089300
participant,P025,0,primary,3,1,3,8444471349078089300
participant,P026,0,primary,3,1,3,8444471349078089300
participant,P027,0,primary,1,1,3,8444471349078089300
participant,P028,0,primary,3,1,3,8444471349078089300
