repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,class_value,class_name,eligibility_level,minimum_trials,minimum_exact_videos,scored_class_trials,class_subjects_with_any_trial,class_unique_videos,class_videos_with_ge3_subjects,eligible_subject_count,eligible_subject_ids,consensus_M_ge_3,eligible_fraction_of_nominal_subjects,uniform_random_trio_acceptance_probability,expected_uniform_resampling_attempts_for_valid_trio,eligible_trial_count_min,eligible_trial_count_median,eligible_trial_count_max,eligible_video_count_min,eligible_video_count_median,eligible_video_count_max,eligible_subject_video_union_count,eligible_subject_video_common_count,eligible_subject_video_pairwise_jaccard_mean
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,weak_1trial,1,1,17,10,8,2,10,P001;P003;P007;P010;P016;P017;P018;P021;P025;P026,True,0.625,0.21428571428571427,4.666666666666667,1,1.5,4,1,1.5,4,8,0,0.21037037037037037
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,minimal_2trials,2,1,17,10,8,2,5,P001;P007;P017;P021;P025,True,0.3125,0.017857142857142856,56.0,2,2.0,4,2,2.0,4,7,0,0.24666666666666667
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,strong_2trials_2videos,2,2,17,10,8,2,5,P001;P007;P017;P021;P025,True,0.3125,0.017857142857142856,56.0,2,2.0,4,2,2.0,4,7,0,0.24666666666666667
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,weak_1trial,1,1,4,4,3,0,4,P001;P003;P010;P013,True,0.25,0.007142857142857143,140.0,1,1.0,1,1,1.0,1,3,0,0.16666666666666666
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,minimal_2trials,2,1,4,4,3,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,strong_2trials_2videos,2,2,4,4,3,0,0,,False,0.0,0.0,,0,0.0,0,0,0.0,0,0,0,
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,weak_1trial,1,1,15,9,9,1,9,P001;P003;P007;P016;P017;P018;P021;P025;P026,True,0.5625,0.15,6.666666666666667,1,1.0,5,1,1.0,5,9,0,0.1787037037037037
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,minimal_2trials,2,1,15,9,9,1,3,P001;P017;P021,True,0.1875,0.0017857142857142857,560.0,2,2.0,5,2,2.0,5,7,0,0.1111111111111111
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,strong_2trials_2videos,2,2,15,9,9,1,3,P001;P017;P021,True,0.1875,0.0017857142857142857,560.0,2,2.0,5,2,2.0,5,7,0,0.1111111111111111
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,weak_1trial,1,1,7,6,3,1,6,P003;P007;P010;P013;P025;P026,True,0.375,0.03571428571428571,28.0,1,1.0,2,1,1.0,2,3,0,0.43333333333333335
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,minimal_2trials,2,1,7,6,3,1,1,P010,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,strong_2trials_2videos,2,2,7,6,3,1,1,P010,False,0.0625,0.0,,2,2.0,2,2,2.0,2,2,2,
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,weak_1trial,1,1,10,5,7,0,5,P001;P003;P007;P017;P018,True,0.625,0.17857142857142858,5.6,1,2.0,4,1,2.0,4,7,0,0.09
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,minimal_2trials,2,1,10,5,7,0,3,P001;P007;P017,True,0.375,0.017857142857142856,56.0,2,2.0,4,2,2.0,4,6,0,0.13333333333333333
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,strong_2trials_2videos,2,2,10,5,7,0,3,P001;P007;P017,True,0.375,0.017857142857142856,56.0,2,2.0,4,2,2.0,4,6,0,0.13333333333333333
