repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,eligibility_level,low_eligible_subjects,high_eligible_subjects,both_classes_eligible_subjects,both_classes_eligible_subject_ids,either_class_eligible_subjects,low_high_subject_set_jaccard,same_subject_trio_for_both_classes_possible
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,weak_1trial,10,4,3,P001;P003;P010,11,0.2727272727272727,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,minimal_2trials,5,0,0,,5,0.0,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,strong_2trials_2videos,5,0,0,,5,0.0,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,weak_1trial,9,6,4,P003;P007;P025;P026,11,0.36363636363636365,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,minimal_2trials,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,strong_2trials_2videos,3,1,0,,4,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,weak_1trial,5,2,2,P001;P003,5,0.4,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,minimal_2trials,3,0,0,,3,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,strong_2trials_2videos,3,0,0,,3,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,weak_1trial,5,2,2,P003;P007,5,0.4,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,weak_1trial,5,2,1,P010,6,0.16666666666666666,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,minimal_2trials,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,valence,strong_2trials_2videos,2,0,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,weak_1trial,4,4,2,P025;P026,6,0.3333333333333333,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,minimal_2trials,1,1,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S3,3,2;3,2,,8,10,6,5,10,arousal,strong_2trials_2videos,1,1,0,,2,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,weak_1trial,7,3,0,,10,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,minimal_2trials,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,valence,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,weak_1trial,5,5,0,,10,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,minimal_2trials,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V2,2;3,2,,3,16,5,11,5,12,arousal,strong_2trials_2videos,1,0,0,,1,0.0,False
0,1,1,R00_S1_V1,inner_video_only,R00_S1_V1_inner_video_train_V3,2;3,3,,2,16,5,8,5,12,valence,weak_1trial,7,1,1,P001,7,0.14285714285714285,False
