subject,session,video_name,quadrant,rating_time,rating_valence,rating_arousal,rating_dominance,valence_is_midpoint,arousal_is_midpoint,dominance_is_midpoint,presentation_key
P001,S001,Clouds,D,before,1,1,1,False,False,False,P001_S001_Clouds
P001,S001,Clouds,D,after,5,2,5,True,False,True,P001_S001_Clouds
P001,S001,The Champ,C,before,3,4,4,False,False,False,P001_S001_The Champ
P001,S001,The Champ,C,after,1,5,9,False,True,False,P001_S001_The Champ
P001,S001,Scream,B,before,4,4,2,False,False,False,P001_S001_Scream
P001,S001,Scream,B,after,5,5,4,True,True,False,P001_S001_Scream
P001,S001,The Visitors,A,before,3,2,2,False,False,False,P001_S001_The Visitors
P001,S001,The Visitors,A,after,6,3,2,False,False,False,P001_S001_The Visitors
P002,S001,Clouds,D,before,5,5,3,True,True,False,P002_S001_Clouds
P002,S001,Clouds,D,after,3,3,3,False,False,False,P002_S001_Clouds
P002,S001,28 days later,B,before,4,5,3,False,True,False,P002_S001_28 days later
P002,S001,28 days later,B,after,7,7,9,False,False,False,P002_S001_28 days later
P002,S001,Mr. Bean,A,before,7,3,7,False,False,False,P002_S001_Mr. Bean
P002,S001,Mr. Bean,A,after,9,9,9,False,False,False,P002_S001_Mr. Bean
P002,S001,Dangerous Minds,C,before,9,5,9,False,True,False,P002_S001_Dangerous Minds
P002,S001,Dangerous Minds,C,after,5,9,9,True,False,False,P002_S001_Dangerous Minds
P003,S001,Clouds,D,before,5,3,6,True,False,False,P003_S001_Clouds
P003,S001,Clouds,D,after,5,2,5,True,False,True,P003_S001_Clouds
P003,S001,There is something about Mary,A,before,5,3,5,True,False,True,P003_S001_There is something about Mary
P003,S001,There is something about Mary,A,after,6,3,6,False,False,False,P003_S001_There is something about Mary
P003,S001,My girl,C,before,6,3,6,False,False,False,P003_S001_My girl
P003,S001,My girl,C,after,5,3,4,True,False,False,P003_S001_My girl
P003,S001,The Shining,B,before,4,3,4,False,False,False,P003_S001_The Shining
P003,S001,The Shining,B,after,2,6,3,False,False,False,P003_S001_The Shining
P004,S001,Clouds,D,before,7,5,5,False,True,True,P004_S001_Clouds
P004,S001,Clouds,D,after,8,7,3,False,False,False,P004_S001_Clouds
P004,S001,Scream,B,before,5,5,3,True,True,False,P004_S001_Scream
P004,S001,Scream,B,after,3,5,7,False,True,False,P004_S001_Scream
P004,S001,Mr. Bean,A,before,5,5,3,True,True,False,P004_S001_Mr. Bean
P004,S001,Mr. Bean,A,after,9,5,7,False,True,False,P004_S001_Mr. Bean
P004,S001,The Champ,C,before,5,7,3,True,False,False,P004_S001_The Champ
P004,S001,The Champ,C,after,1,3,7,False,False,False,P004_S001_The Champ
P005,S001,Clouds,D,before,7,5,5,False,True,True,P005_S001_Clouds
P005,S001,Clouds,D,after,8,8,7,False,False,False,P005_S001_Clouds
P005,S001,The Visitors,A,before,7,4,2,False,False,False,P005_S001_The Visitors
P005,S001,The Visitors,A,after,8,7,8,False,False,False,P005_S001_The Visitors
P005,S001,The Champ,C,before,7,3,1,False,False,False,P005_S001_The Champ
P005,S001,The Champ,C,after,5,3,3,True,False,False,P005_S001_The Champ
